type,sku,name,featured,short_description,regular_price,currency,category_ids,Images,description,optionLists
simple,67665629,"Goan Shrimp",0,"Shrimps in delicious goan style onion sauce with coconut cream",21,USD,Seafood,",","Shrimps in delicious goan style onion sauce with coconut cream","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665628,"Meen Molie",0,"Traditional kerala Fish, Shrimp curry cooked in coconut milk, onion
& curry leaf",20,USD,Seafood,",","Traditional kerala Fish, Shrimp curry cooked in coconut milk, onion
& curry leaf","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665630,"Konkan Fish Curry",0,"Fish blended with herbs, spices, & coconut milk ",19,USD,Seafood,",","Fish blended with herbs, spices, & coconut milk ","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665669,"Chicken Biryani",0,"Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with raita.",19,USD,"Biryani & Rice","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/61a89ed4-2baf-4dbd-8270-8ba4edb28699-retina-large.jpg,","Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with raita.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665671,"Saffron Rice",0,"Long grained basmati rice with saffron.",5,USD,"Biryani & Rice",",","Long grained basmati rice with saffron.",[]
simple,67665670,"Lamb Dum Biryani",0,"Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with yogurt raita.",20,USD,"Biryani & Rice",",","Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with yogurt raita.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665667,"Veggie Subz Biryani",0,"Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with raita.",18,USD,"Biryani & Rice",",","Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with raita.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,171803407,"Coconut Rice",0,"Fresh grated coconut milk with touch of indian spices",6,USD,"Biryani & Rice","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/d54e44ad-5d2e-44da-915b-00532585bb50-retina-large.jpg,https://img.cdn4dd.com/u/media/e238468d-bfc6-4d26-8e61-6ca9bd574f00.png","Fresh grated coconut milk with touch of indian spices",[]
simple,108757008,"Goat Dum Biryani",0,"Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with yogurt raita.",20,USD,"Biryani & Rice",",","Pot sealed basmati rice biryani with aromatic herbs and spices accompanied with yogurt raita.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665661,"Roomali Roti",0,"Stone ground whole-wheat bread.",8,USD,Breads,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/1a453e76-fbe6-4443-9c24-08cd4d238581-retina-large.jpg,","Stone ground whole-wheat bread.",[]
simple,67665656,"Garlic Naan",0,"Unleavened flour breads baked in clay oven.",4,USD,Breads,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/6aa9bbce-baac-47ea-acca-6fec1d87fd12-retina-large.jpg,https://img.cdn4dd.com/u/media/2a64b0c6-fc57-4fb5-b51f-8ee0459927d4.jpg","Unleavened flour breads baked in clay oven.",[]
simple,67665666,"Bread Basket",0,"Lacha paratha, butter naan and garlic naan.",12,USD,Breads,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/7b2ee322-ac91-4d2a-b0f3-1aac4972e8c6-retina-large.jpg,","Lacha paratha, butter naan and garlic naan.",[]
simple,67665655,"Plain Naan",0,"Unleavened flour bread baked in clay oven.",3,USD,Breads,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/f8f86f78-7739-48c9-8fa0-ce86eacdf1b4-retina-large.jpg,","Unleavened flour bread baked in clay oven.",[]
simple,67665664,"Onion Kulcha",0,"Stuffed kulcha.",6,USD,Breads,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/yelp/8a5791d0-0e44-432e-a807-8f19fb0dfc0c.jpg,","Stuffed kulcha.",[]
simple,67665665,"Cheese Kulcha",0,"Stuffed kulcha.",6,USD,Breads,",","Stuffed kulcha.",[]
simple,67665658,"Pesto Naan",0,"Unleavened flour breads baked in clay oven.",5,USD,Breads,",","Unleavened flour breads baked in clay oven.",[]
simple,67665660,"Tandoori Roti",0,"Stone ground whole-wheat bread.",3,USD,Breads,",","Stone ground whole-wheat bread.",[]
simple,67665663,"Potato & Peas Kulcha",0,"Stuffed kulcha.",6,USD,Breads,",","Stuffed kulcha.",[]
simple,67665662,"Lachha Paratha",0,"Stone ground whole-wheat bread.",4,USD,Breads,",","Stone ground whole-wheat bread.",[]
simple,67665621,"Tomato & Fennel Soup",0,"Fresh tomato reduction flavoured with fresh fennel",9,USD,"Soups & Salads",",","Fresh tomato reduction flavoured with fresh fennel",[]
simple,10321396386,"Green Salad",0,"Fresh cucumber, onion, tomato, lemon & green chilli",8,USD,"Soups & Salads",",","Fresh cucumber, onion, tomato, lemon & green chilli","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665623,"Mango Olive Salad",0,"Gluten free. Juliennes of mango, cucumber, olives, bell pepper, olive oil and mint.",9,USD,"Soups & Salads",",","Gluten free. Juliennes of mango, cucumber, olives, bell pepper, olive oil and mint.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,1179488642,"Mulligatawny Soup",0,"Specialty South Indian lenthil soupspiced with cochin peppers,olive oil and mint",9,USD,"Soups & Salads",",","Specialty South Indian lenthil soupspiced with cochin peppers,olive oil and mint",[]
simple,67665673,"Subz Raita",0,"Yogurt with cucumber, carrot and roasted cumin.",4,USD,"Side Items",",","Yogurt with cucumber, carrot and roasted cumin.",[]
simple,67665675,"Roasted Papadum",0,,5,USD,"Side Items",",",,[]
simple,8990669822,"Mango Chuntey",0,,4,USD,"Side Items",",",,[]
simple,67665676,"Mixed Pickle",0,"Indian spicy mixed pickle.",4,USD,"Side Items",",","Indian spicy mixed pickle.",[]
